iter	Passed	Remaining
0	3	3183
1	5	2945
2	8	2812
3	10	2722
4	14	2802
5	16	2741
6	19	2725
7	21	2679
8	24	2648
9	26	2617
10	29	2635
11	31	2614
12	34	2597
13	36	2573
14	38	2558
15	41	2536
16	43	2527
17	46	2515
18	48	2509
19	50	2494
20	53	2482
21	55	2471
22	57	2462
23	60	2463
24	63	2457
25	65	2450
26	67	2441
27	70	2434
28	72	2423
29	74	2417
30	77	2420
31	80	2420
32	82	2414
33	84	2407
34	87	2403
35	89	2396
36	92	2395
37	94	2392
38	96	2387
39	99	2382
40	101	2375
41	103	2369
42	106	2364
43	108	2366
44	111	2361
45	113	2357
46	116	2353
47	118	2348
48	120	2345
49	123	2346
50	126	2344
51	128	2340
52	130	2333
53	132	2326
54	134	2318
55	137	2309
56	139	2312
57	142	2313
58	144	2310
59	147	2308
60	149	2306
61	152	2309
62	156	2321
63	158	2319
64	160	2314
65	163	2309
66	165	2301
67	167	2295
68	170	2297
69	172	2298
70	175	2292
71	177	2285
72	179	2278
73	181	2272
74	183	2266
75	187	2277
76	189	2276
77	192	2270
78	194	2264
79	196	2257
80	198	2251
81	200	2246
82	203	2247
83	205	2245
84	208	2243
85	211	2244
86	213	2241
87	216	2239
88	232	2377
89	234	2371
90	236	2363
91	238	2354
92	240	2345
93	242	2336
94	244	2330
95	246	2323
96	248	2315
97	251	2311
98	253	2304
99	255	2297
100	257	2290
101	259	2283
102	261	2278
103	263	2271
104	265	2267
105	268	2260
106	270	2254
107	272	2247
108	274	2241
109	276	2239
110	278	2234
111	281	2230
112	283	2224
113	285	2218
114	287	2213
115	289	2208
116	292	2205
117	294	2200
118	296	2195
119	298	2190
120	300	2185
121	302	2179
122	304	2174
123	307	2169
124	309	2164
125	311	2159
126	313	2156
127	315	2151
128	317	2146
129	320	2142
130	322	2137
131	324	2132
132	326	2128
133	328	2125
134	331	2121
135	333	2116
136	335	2113
137	338	2113
138	340	2110
139	343	2108
140	345	2105
141	348	2103
142	351	2106
143	354	2106
144	357	2106
145	360	2109
146	363	2109
147	366	2108
148	368	2104
149	370	2101
150	373	2097
151	376	2098
152	378	2094
153	381	2093
154	383	2092
155	386	2088
156	388	2086
157	391	2087
158	394	2087
159	396	2083
160	399	2079
161	401	2075
162	403	2071
163	405	2068
164	408	2066
165	410	2062
166	412	2058
167	414	2054
168	417	2050
169	419	2046
170	421	2042
171	423	2040
172	426	2036
173	428	2032
174	430	2028
175	432	2024
176	434	2020
177	436	2016
178	439	2014
179	441	2009
180	443	2005
181	445	2001
182	447	1996
183	449	1992
184	451	1988
185	453	1984
186	455	1981
187	457	1977
188	459	1973
189	461	1969
190	463	1965
191	466	1961
192	468	1957
193	470	1955
194	472	1951
195	474	1948
196	476	1944
197	478	1939
198	481	1936
199	483	1932
200	485	1930
201	487	1927
202	490	1924
203	492	1921
204	494	1919
205	497	1916
206	499	1913
207	502	1911
208	504	1908
209	506	1905
210	508	1901
211	510	1897
212	512	1894
213	514	1891
214	517	1888
215	519	1885
216	521	1882
217	523	1878
218	525	1875
219	528	1872
220	530	1869
221	533	1869
222	536	1867
223	538	1866
224	541	1864
225	544	1863
226	547	1862
227	549	1861
228	552	1858
229	554	1855
230	556	1852
231	558	1848
232	560	1846
233	563	1843
234	565	1841
235	567	1838
236	569	1834
237	572	1831
238	574	1828
239	576	1825
240	579	1825
241	581	1822
242	584	1820
243	587	1819
244	589	1815
245	591	1813
246	593	1810
247	596	1808
248	598	1805
249	600	1801
250	602	1798
251	604	1795
252	607	1792
253	609	1789
254	611	1787
255	613	1784
256	616	1780
257	618	1777
258	620	1774
259	622	1771
260	624	1767
261	626	1764
262	628	1761
263	630	1758
264	632	1755
265	634	1751
266	637	1748
267	639	1745
268	641	1742
269	643	1739
270	645	1736
271	647	1733
272	649	1729
273	651	1726
274	653	1723
275	656	1721
276	658	1719
277	661	1716
278	663	1713
279	665	1710
280	667	1708
281	669	1705
282	671	1702
283	673	1699
284	676	1696
285	678	1692
286	680	1689
287	682	1687
288	684	1683
289	686	1680
290	688	1677
291	691	1675
292	693	1672
293	695	1669
294	697	1667
295	699	1664
296	701	1661
297	703	1657
298	706	1655
299	708	1652
300	710	1649
301	712	1646
302	714	1643
303	716	1640
304	718	1637
305	720	1634
306	722	1631
307	724	1628
308	727	1626
309	730	1625
310	732	1623
311	735	1621
312	738	1620
313	740	1617
314	742	1615
315	744	1612
316	746	1609
317	749	1606
318	751	1603
319	753	1602
320	756	1599
321	759	1598
322	761	1595
323	763	1592
324	765	1589
325	767	1587
326	770	1585
327	772	1583
328	775	1581
329	777	1578
330	779	1575
331	781	1573
332	784	1571
333	786	1568
334	788	1565
335	790	1563
336	793	1560
337	795	1557
338	797	1554
339	799	1552
340	802	1550
341	804	1547
342	806	1544
343	808	1541
344	810	1538
345	812	1535
346	814	1533
347	817	1531
348	819	1528
349	821	1525
350	823	1522
351	825	1519
352	827	1516
